Problem size,karatsuba (ms),school (ms)
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
21,0,0
31,0.333333,0
41,0.333333,0
51,1,0
61,4.66667,0
71,9.66667,0
81,16,0
91,19.6667,0
101,23.3333,0
201,41.3333,1
301,70,3.33333
401,112,7.66667
501,171.667,16.6667
601,260.333,27.3333
701,366.333,43
801,491.667,67
901,652.667,98.3333
1001,827,130.333
2001,1355,259
3001,2386,557
4001,3994.33,1074
5001,6481,1900.33
6001,9589,3085.33
7001,13511,4696
8001,18218.7,6797
9001,24420.7,9494
10001,31753.7,12798.3
20001,53994,26060.3
30001,92670,55726.3
40001,159052,108204
50001,249141,190146
60001,364620,308229
70001,523579,469080
80001,723053,680917
90001,956918,948568
100001,1.23E+06,1.28E+06
