,karatsuba(ms),school-grade(ms),div&conq(ms),
1,0,0,0,
11,0.333333,0,0,
21,1.33333,0,0.333333,
31,0.666667,0,1.66667,
41,1.66667,0,2.33333,
51,2,0,3.66667,
61,2.66667,0,6.66667,
71,4,0,9.33333,
81,4.66667,0,10,
91,6,0,12,
101,6.66667,0,17,
111,8.33333,0,22.6667,
121,10,0,28.6667,
131,10.3333,0,34.3333,
141,13.3333,0,35.6667,
151,15.3333,0,39.3333,
161,16.6667,0,42.3333,
171,19,0,46.6667,
181,18.3333,0.333333,52.6667,
191,19.6667,0.333333,59.6667,
201,23.3333,0.333333,68.6667,
211,25,0,78.3333,
221,26.3333,0.333333,88.6667,
231,28,0.333333,101.667,
241,29,0.666667,115.333,
251,32,1.33333,135.333,
261,34,0.666667,139,
271,38.3333,1,140.667,
281,39.6667,0.666667,144.667,
291,46,1,154,
301,44.6667,1,159.333,
311,46,1.33333,157,
321,48.3333,1.33333,164.667,
331,51.6667,1.66667,180,
341,53.6667,2,189.667,
351,55,1.66667,196,
361,57,2.33333,208.667,
371,58,2,242,
381,61,2,237,
391,64.3333,2,252.333,
401,68,3,290.333,
411,71.6667,3,299.667,
421,80,3,325,
431,77.6667,3.33333,381.667,
441,91.6667,3.66667,385.333,
451,79.3333,3.66667,392.333,
461,93.3333,4.66667,421.667,
471,90.3333,4,471.333,
481,91.6667,4.66667,487.333,
491,98.3333,4.33333,506.667,
