,caesar (ms),karatsuba (ms),school (ms),
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,0,0,0,
7,0,0,0,
8,0,0,0,
9,0,0,0,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,0,0.2,0,
14,0,0.2,0,
15,0.2,0.2,0,
16,0.4,0.4,0,
17,0.4,0.4,0,
18,0.4,0.6,0,
19,0.6,0.6,0,
20,0.6,0.6,0,
21,0.6,0.8,0,
22,0.8,0.8,0,
23,1,1.2,0,
24,1,1.2,0,
25,1.4,1.2,0,
26,2.2,1.4,0,
27,2.4,1.6,0,
28,3.6,2.2,0,
29,4.6,2.8,0,
30,5,3.4,0,
31,6,3.8,0.2,
32,7.4,4.6,0.2,
33,8.8,5.2,0.2,
34,10.6,5.6,0.2,
35,12.2,6.4,0.2,
36,13.2,7.4,0.2,
37,14.6,8.4,0.2,
38,16,9.4,0.2,
39,17.2,10.4,0.2,
40,19.2,11.8,0.2,
41,21.6,13.6,0.2,
42,23.8,14.8,0.2,
43,26.2,16,0.2,
44,29.2,18,0.2,
45,33,20.6,0.2,
46,37.2,22.4,0.2,
47,40,24.2,0.2,
48,43,25.4,0.2,
49,46.2,26.8,0.2,
50,50.2,28.8,0.2,
51,54.4,30.6,0.2,
52,58.2,32.4,0.2,
53,62.2,34.2,0.2,
54,66.6,36.2,0.2,
55,71.2,38.2,0.2,
56,77.2,40.6,0.2,
57,82.6,44.2,0.2,
58,88.8,47.4,0.2,
59,94.8,50,0.2,
60,101.6,52.6,0.2,
61,108.6,55.4,0.2,
62,115.6,58.6,0.2,
63,123,62.4,0.2,
64,130.8,65.6,0.6,
65,140.6,69.6,0.6,
66,149.2,72.8,0.6,
67,157.8,76.8,0.6,
68,166,80.4,0.6,
69,174.8,84.8,0.6,
70,184.4,88.8,0.6,
71,193.2,93.2,0.6,
72,201.6,97.8,0.6,
73,210,103,0.6,
74,218.4,107.6,0.6,
75,227.6,112.4,0.6,
76,236.4,117,0.8,
77,245,121.8,0.8,
78,253.8,126.4,0.8,
79,262.8,131.4,0.8,
80,272,136.2,0.8,
