Problem size,caesar (ms),karatsuba (ms),school (ms)
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0.333333,0
11,0,0.666667,0
12,0,0.666667,0
13,0,0.666667,0
14,0,0.666667,0
15,0,0.666667,0
16,0,0.666667,0
17,0,0.666667,0
18,0,0.666667,0
19,0,0.666667,0
20,0,0.666667,0
21,0,0.666667,0
26,0,0.666667,0
31,0.333333,0.666667,0
36,0.666667,0.666667,0
41,1.66667,0.666667,0
46,2.33333,1.33333,0
51,4,2.66667,0
56,7.33333,3,0
61,10.3333,4,0
66,14.6667,6,0
71,19.3333,8,0
76,24,10.6667,0
81,30,13.6667,0
86,36.6667,17.3333,0.333333
91,43.6667,21,0.666667
96,54,24.3333,0.666667
101,67.3333,29.6667,0.666667
151,90.6667,39.6667,0.666667
201,132.667,55.3333,1.33333
251,205,74.6667,2.66667
301,295.333,102.333,5
351,406.333,136.333,8
401,557,178,12
451,760,226.333,17.6667
501,1020.67,290.333,25
551,1367.67,362,34
601,1728.67,446.667,44.6667
651,2146,542.333,57.6667
701,2589,651.333,72.3333
751,3125,777,91
801,3750,908,111
851,4416.67,1044.33,139
901,5220.33,1204.67,164.333
951,6089.33,1363.33,193.333
1001,7138.33,1534.33,225.333
1501,9199,1874.67,309
2001,13470.7,2403.33,439
2501,19646.7,3236,642
3001,27903,4289.67,934.333
3501,39140.3,5576.67,1329.67
4001,55982.3,7133,1860.67
4501,78202,9209.67,2525.67
5001,102770,11742.3,3375.67
5501,130349,14537.7,4386
6001,163143,17633,5578.67
6501,202632,21138,6949.33
7001,247272,25026.7,8562
7501,300733,29356,10397.3
8001,368370,34091,12526.7
8501,454246,39699,14901
9001,542725,45893.3,17559.7
9501,634715,52767,20566
10001,732110,60154.3,23856.3
